"team","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance","season"
"ATL",11,1,0.00909090909090909,0,0,10,2,5,2,1,0.1,0.1,NA,NA,0,1,10,0,11,0,10,0,0,NA,NA,NA,"2019-20"
"BOS",3,3,0.5,0,0,1,3,5,1,1,0,0.75,0.25,NA,0.5,0.658359213500126,1,0,2,0,1,0,0,NA,NA,NA,"2019-20"
"BKN",4,2,0.166666666666667,0,0,3,2,5,2,1,0.222222222222222,0.222222222222222,NA,NA,0,1,3,0,3,0,3,0,0,NA,NA,NA,"2019-20"
"CHA",5,6,0.3,0,0,2,4,5,2,1,0.5625,0.5625,NA,NA,0.5,0.755983064143708,2,0,2,0,2,0,0,-1.94772346782907,-1.94772346782907,-1.63812732020318,"2019-20"
"CHI",6,3,0.1,0,0,4,3,5,2,1,0.36,0.12,NA,NA,0.05,0.914589803375032,4,0,5,0,4,0,0,NA,NA,NA,"2019-20"
"CLE",9,6,0.0833333333333333,0,0,7,3,5,2,2,0.1875,0.1875,NA,NA,0,0.857142857142857,7,0,7,0,7,0,0,1.45671578313632,1.45671578313632,0.278478362222223,"2019-20"
"DAL",4,0,0,0,0,4,1,5,1,0,0,0,NA,NA,0,0,4,NA,4,NA,4,NA,NA,NA,NA,NA,"2019-20"
"DET",7,16,0.380952380952381,0,0,2,6,5,4,3,0.333333333333333,0.333333333333333,NA,NA,0.0944444444444444,0.548197835045128,4,0.001953125,3,0,3,0.123456790123457,0.123456790123457,1.11276347368158,1.3785546985668,0.791453701779882,"2019-20"
"GSW",6,6,0.2,0,0,4,3,5,2,2,0.24,0.24,NA,NA,0,0.75,4,0,4,0,4,0,0,2.1497230917001,2.1497230917001,0.885210567228064,"2019-20"
"HOU",7,3,0.0714285714285714,0,0,5,3,5,2,1,0.305555555555556,0.111111111111111,NA,NA,0.0333333333333333,0.931671842700025,5,0,5,0,5,0,0,NA,NA,NA,"2019-20"
"IND",3,0,0,0,0,3,1,5,1,0,0,0,NA,NA,0,0,3,NA,3,NA,3,NA,NA,NA,NA,NA,"2019-20"
"LAL",4,8,0.666666666666667,1,1,1,4,5,1,2,0.444444444444444,0.444444444444444,0.4,0.355555555555555,0.666666666666667,0.445453324401195,1,0,1,0,1,0,0,0.55337157109286,-0.512147519731584,-0.512147519731584,"2019-20"
"MEM",5,3,0.15,0,0,3,3,5,2,1,0.125,0.4375,NA,NA,0.0833333333333333,0.886119737833376,3,0,4,0,3,0,0,NA,NA,NA,"2019-20"
"MIA",5,1,0.05,0,0,4,2,5,2,1,0.25,0.25,NA,NA,0,1,4,0,5,0,4,0,0,NA,NA,NA,"2019-20"
"MIL",2,0,0,0,0,2,1,5,1,0,0,0,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,"2019-20"
"MIN",3,0,0,0,0,3,1,5,1,0,0,0,NA,NA,0,0,3,NA,3,NA,3,NA,NA,NA,NA,NA,"2019-20"
"NOP",2,2,1,1,1,1,2,5,1,1,0,0,0,0,NA,NA,1,0,1,0,1,0,0,NA,NA,NA,"2019-20"
"NYK",4,5,0.416666666666667,0,0,2,3,5,2,2,0.333333333333333,0.333333333333333,NA,NA,0.166666666666667,0.656929669182746,2,0,2,0,2,0,0,NA,NA,1.48556270541641,"2019-20"
"OKC",8,12,0.214285714285714,0,0,4,5,5,3,2,0.408163265306122,0.408163265306122,NA,NA,0.163265306122449,0.719076011221535,4,0,4,0,4,0,0,0.424022444010003,0.424022444010003,-0.732669236489756,"2019-20"
"ORL",5,3,0.15,0,0,3,3,5,2,1,0.4375,0.125,NA,NA,0.0833333333333333,0.886119737833375,3,0,4,0,3,0,0,NA,NA,NA,"2019-20"
"PHI",3,2,0.333333333333333,0,0,2,2,5,2,1,0.25,0.25,NA,NA,0,1,2,0,2,0,2,0,0,NA,NA,NA,"2019-20"
"PHX",7,8,0.19047619047619,0,0,3,5,5,2,1,0.555555555555556,0.555555555555556,NA,NA,0.4,0.8,3,0,3,0,3,0,0,-3.23637960904423,-3.23637960904423,-3.35468457748927,"2019-20"
"POR",6,15,0.5,0,0,2,5,5,3,3,0.36,0.36,NA,NA,0.19,0.453464834591373,2,0,2,0,2,0,0,2.85816764546441,2.85816764546441,1.98602204093936,"2019-20"
"SAC",10,13,0.144444444444444,0,0,6,5,5,3,3,0.333333333333333,0.209876543209877,NA,NA,0.0416666666666667,0.737029191423995,6,0,7,0,7,0.0306122448979592,0.0306122448979592,3.43227197079951,3.43227197079951,0.39303740474497,"2019-20"
"SAS",6,9,0.3,0,0,3,4,5,2,2,0.36,0.36,NA,NA,0.12,0.664480099682739,3,0,3,0,3,0,0,2.41726572903843,2.41726572903843,0.533370880231019,"2019-20"
"UTA",2,0,0,0,0,2,1,5,1,0,0,0,NA,NA,NA,NA,2,NA,2,NA,2,NA,NA,NA,NA,NA,"2019-20"
"WAS",5,0,0,0,0,5,1,5,1,0,0,0,NA,NA,0,0,5,NA,5,NA,5,NA,NA,NA,NA,NA,"2019-20"
