SEASON,TEAM_ID,TEAM_NAME,PLAYOFF_GAMES,PLAYOFF_ROUND,WINS,LOSSES,LAST_GAME_DATE,IS_CHAMPION,ADVANCED_TO_PLAYOFFS
2015-16,1610612737,Atlanta Hawks,10,首輪,4,6,"MAY 08, 2016",False,
2015-16,1610612738,Boston Celtics,6,首輪,2,4,"APR 28, 2016",False,
2015-16,1610612739,Cleveland Cavaliers,21,總決賽,16,5,"JUN 19, 2016",True,
2015-16,1610612740,New Orleans Pelicans,0,未進入季後賽,0,0,,,False
2015-16,1610612741,Chicago Bulls,0,未進入季後賽,0,0,,,False
2015-16,1610612742,Dallas Mavericks,5,首輪,1,4,"APR 25, 2016",False,
2015-16,1610612743,Denver Nuggets,0,未進入季後賽,0,0,,,False
2015-16,1610612744,Golden State Warriors,24,總決賽,15,9,"JUN 19, 2016",False,
2015-16,1610612745,Houston Rockets,5,首輪,1,4,"APR 27, 2016",False,
2015-16,1610612746,Los Angeles Clippers,6,首輪,2,4,"APR 29, 2016",False,
2015-16,1610612747,Los Angeles Lakers,0,未進入季後賽,0,0,,,False
2015-16,1610612748,Miami Heat,14,分區半決賽,7,7,"MAY 15, 2016",False,
2015-16,1610612749,Milwaukee Bucks,0,未進入季後賽,0,0,,,False
2015-16,1610612750,Minnesota Timberwolves,0,未進入季後賽,0,0,,,False
2015-16,1610612751,Brooklyn Nets,0,未進入季後賽,0,0,,,False
2015-16,1610612752,New York Knicks,0,未進入季後賽,0,0,,,False
2015-16,1610612753,Orlando Magic,0,未進入季後賽,0,0,,,False
2015-16,1610612754,Indiana Pacers,7,首輪,3,4,"MAY 01, 2016",False,
2015-16,1610612755,Philadelphia 76ers,0,未進入季後賽,0,0,,,False
2015-16,1610612756,Phoenix Suns,0,未進入季後賽,0,0,,,False
2015-16,1610612757,Portland Trail Blazers,11,分區半決賽,5,6,"MAY 11, 2016",False,
2015-16,1610612758,Sacramento Kings,0,未進入季後賽,0,0,,,False
2015-16,1610612759,San Antonio Spurs,10,分區半決賽,6,4,"MAY 12, 2016",False,
2015-16,1610612760,Oklahoma City Thunder,18,分區決賽,11,7,"MAY 30, 2016",False,
2015-16,1610612761,Toronto Raptors,20,分區決賽,10,10,"MAY 27, 2016",False,
2015-16,1610612762,Utah Jazz,0,未進入季後賽,0,0,,,False
2015-16,1610612763,Memphis Grizzlies,4,未進入季後賽,0,4,"APR 24, 2016",False,
2015-16,1610612764,Washington Wizards,0,未進入季後賽,0,0,,,False
2015-16,1610612765,Detroit Pistons,4,未進入季後賽,0,4,"APR 24, 2016",False,
2015-16,1610612766,Charlotte Hornets,7,首輪,3,4,"MAY 01, 2016",False,
2016-17,1610612737,Atlanta Hawks,6,首輪,2,4,"APR 28, 2017",False,
2016-17,1610612738,Boston Celtics,18,分區決賽,9,9,"MAY 25, 2017",False,
2016-17,1610612739,Cleveland Cavaliers,18,總決賽,13,5,"JUN 12, 2017",False,
2016-17,1610612740,New Orleans Pelicans,0,未進入季後賽,0,0,,,False
2016-17,1610612741,Chicago Bulls,6,首輪,2,4,"APR 28, 2017",False,
