TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,SEASON,SEASON_TYPE,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,FTA_RATE,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM,PCT_FGA_2PT_RANK,PCT_FGA_3PT_RANK,PCT_PTS_2PT_RANK,PCT_PTS_2PT_MR_RANK,PCT_PTS_3PT_RANK,PCT_PTS_FB_RANK,PCT_PTS_FT_RANK,PCT_PTS_OFF_TOV_RANK,PCT_PTS_PAINT_RANK,PCT_AST_2PM_RANK,PCT_UAST_2PM_RANK,PCT_AST_3PM_RANK,PCT_UAST_3PM_RANK,PCT_AST_FGM_RANK,PCT_UAST_FGM_RANK
1610612737,Atlanta Hawks,82,48,34,0.585,48.4,1.5,-1.6,0.026,1.7,3.9,0.012,-1.0,-2.1,0.028,-3.2,-1.2,-4.4,3.6,-1.2,0.5,0.9,-0.9,0.9,-0.9,3.6,3.6,2015-16,Regular Season,103.0,104.6,98.8,100.8,4.1,3.9,0.663,1.71,19.0,0.234,0.698,0.474,0.152,0.516,0.552,99.4,97.63,81.36,8059,0.528,1,7,7,7,11,20,2,7,2,7,2,29,26,28,21,6,8,9,6,18.5,10.7,14.8,43.4,16.0,13.1,11.9,40.9,4,27,7,15,14,18,9,8,29,3,7,4,26,0.664,0.336,0.558,0.136,0.29,0.143,0.152,0.18,0.422,0.582,0.418,0.896,0.104,0.663,0.337,25,6,21,24,6,7,28,4,15,2,29,4,27,2,29
1610612738,Boston Celtics,82,48,34,0.585,48.2,1.7,4.2,-0.002,0.9,2.8,-0.002,-1.1,-2.5,0.033,0.2,-1.3,-1.1,3.2,-2.7,1.6,-1.2,1.2,1.0,-1.0,3.2,3.2,2015-16,Regular Season,103.9,105.8,100.9,102.5,3.0,3.3,0.616,1.76,17.4,0.29,0.707,0.495,0.138,0.488,0.531,101.1,99.43,82.86,8191,0.52,1,7,7,7,23,10,4,8,5,4,10,12,24,18,5,24,21,3,9,18.8,14.3,16.3,45.9,14.8,14.2,10.8,43.0,3,3,6,6,6,26,3,14,20,8,27,3,24,0.707,0.293,0.577,0.142,0.248,0.154,0.175,0.178,0.434,0.546,0.454,0.859,0.141,0.616,0.384,18,13,16,21,16,6,9,5,8,8,23,13,18,5,26
1610612751,Brooklyn Nets,82,21,61,0.256,48.2,-2.5,-0.8,-0.026,-3.0,-7.2,-0.017,0.7,1.1,-0.006,0.3,-1.3,-1.0,-2.2,0.6,-1.1,-1.2,1.2,-0.4,0.4,-7.4,-7.4,2015-16,Regular Season,100.9,102.4,108.5,109.7,-7.6,-7.4,0.583,1.51,17.0,0.279,0.716,0.494,0.153,0.492,0.527,97.4,96.12,80.1,7903,0.46,1,28,28,28,26,27,29,28,18,19,14,17,19,21,22,21,23,20,27,15.0,12.6,11.5,46.2,18.3,12.1,14.5,47.9,24,19,20,5,26,11,24,30,27,30,1,16,19,0.782,0.218,0.644,0.176,0.197,0.116,0.159,0.152,0.468,0.53,0.47,0.844,0.156,0.583,0.417,3,28,3,11,26,19,24,21,2,10,21,17,14,18,13
1610612766,Charlotte Hornets,82,48,34,0.585,48.4,-0.8,-0.6,-0.006,1.8,4.0,0.013,2.4,2.5,0.021,0.1,-0.8,-0.7,-1.5,-0.9,0.5,-0.1,0.1,-2.2,2.2,2.7,2.7,2015-16,Regular Season,105.1,106.4,101.8,103.7,3.3,2.7,0.586,1.73,16.7,0.244,0.754,0.499,0.129,0.502,0.545,97.8,96.24,80.2,7966,0.511,1,7,7,7,9,9,9,9,17,6,18,27,1,15,1,14,12,18,11,15.9,11.4,11.1,37.6,14.1,11.4,12.4,40.0,19,26,23,29,2,5,13,3,13,13,4,24,1,0.652,0.348,0.51,0.147,0.309,0.107,0.181,0.154,0.363,0.482,0.518,0.842,0.158,0.586,0.414,27,4,29,19,2,25,7,20,29,21,10,18,13,17,14
1610612741,Chicago Bulls,82,42,40,0.512,48.5,-0.8,-2.0,0.0,0.0,-1.6,0.026,0.2,-1.1,0.05,-0.8,1.1,0.4,0.3,2.0,-2.0,0.1,-0.1,0.1,-0.1,-1.5,-1.5,2015-16,Regular Season,102.1,104.1,103.9,105.5,-1.8,-1.4,0.591,1.64,17.0,0.29,0.714,0.506,0.142,0.487,0.526,98.2,96.6,80.5,8008,0.494,1,14,14,14,3,23,15,18,14,12,13,11,20,12,12,26,26,15,16,13.3,13.6,10.2,41.0,16.0,14.3,13.8,44.4,29,7,28,22,16,27,21,23,28,6,3,29,20,0.756,0.244,0.603,0.2,0.234,0.1,0.162,0.131,0.403,0.515,0.485,0.885,0.115,0.591,0.409,7,24,8,3,20,27,22,29,21,13,18,5,26,14,17
1610612739,Cleveland Cavaliers,82,57,25,0.695,48.4,1.9,1.9,0.012,2.8,6.9,0.015,-0.5,-0.9,0.005,1.4,2.1,3.5,1.3,0.3,-0.5,-0.5,0.5,-0.3,0.3,6.0,6.0,2015-16,Regular Season,108.1,110.2,102.3,103.9,5.8,6.3,0.587,1.67,17.4,0.294,0.742,0.519,0.143,0.524,0.558,95.5,93.82,78.19,7764,0.528,1,3,3,3,9,3,10,4,16,10,11,10,5,4,13,3,4,28,5,16.3,13.2,11.8,41.0,15.5,11.2,11.2,40.8,16,10,19,22,11,3,6,6,23,12,16,21,5,0.648,0.352,0.536,0.143,0.309,0.114,0.156,0.156,0.393,0.481,0.519,0.863,0.137,0.587,0.413,28,3,26,20,3,20,27,17,23,22,9,11,20,16,15
1610612742,Dallas Mavericks,82,42,40,0.512,48.8,-1.0,-0.9,-0.007,0.8,2.1,0.002,0.9,-0.5,0.056,-1.4,-1.3,-2.7,0.2,-1.2,-0.7,-0.7,0.7,-2.0,2.0,-0.3,-0.3,2015-16,Regular Season,104.8,105.5,104.3,105.9,0.6,-0.4,0.592,1.73,17.0,0.241,0.723,0.484,0.132,0.502,0.544,96.4,95.34,79.45,7950,0.503,1,14,14,14,1,11,16,16,13,5,12,28,14,26,2,13,14,22,13,16.0,10.6,11.2,38.0,14.8,13.4,16.0,40.9,18,28,21,27,7,20,27,7,19,17,10,17,14,0.661,0.339,0.538,0.167,0.288,0.11,0.173,0.156,0.371,0.5,0.5,0.85,0.15,0.592,0.408,26,5,25,14,7,22,13,16,27,19,12,16,15,13,18
1610612743,Denver Nuggets,82,33,49,0.402,48.4,-1.1,1.2,-0.019,-1.2,-1.1,-0.033,0.3,0.2,0.005,1.7,0.2,2.0,-0.8,1.0,-0.6,-1.5,1.5,0.1,-0.1,-3.1,-3.1,2015-16,Regular Season,102.7,104.9,106.4,108.2,-3.7,-3.3,0.601,1.55,16.9,0.304,0.732,0.513,0.151,0.489,0.531,98.2,96.34,80.28,7963,0.479,1,21,21,21,11,17,25,23,9,15,15,3,9,7,19,23,22,17,25,15.7,13.3,14.2,45.9,16.8,12.1,13.0,43.1,20,9,9,7,22,12,17,15,12,22,20,20,9,0.723,0.277,0.583,0.133,0.236,0.139,0.181,0.154,0.45,0.543,0.457,0.814,0.186,0.601,0.399,14,17,14,27,19,10,6,19,5,9,22,21,10,9,22
1610612765,Detroit Pistons,82,44,38,0.537,48.5,-0.9,2.2,-0.022,1.8,5.7,-0.01,0.6,4.5,-0.115,3.6,0.2,3.8,-2.1,0.1,-0.1,-0.8,0.8,-2.6,2.6,0.6,0.6,2015-16,Regular Season,103.3,105.3,103.4,104.9,-0.2,0.3,0.512,1.44,14.8,0.313,0.753,0.521,0.14,0.491,0.522,97.4,95.75,79.79,7942,0.486,1,12,12,12,5,15,13,14,29,23,29,2,2,2,8,22,28,21,22,15.4,14.9,11.1,43.5,14.6,10.7,10.4,44.4,22,2,23,14,5,2,1,22,5,16,5,23,2,0.697,0.303,0.567,0.141,0.266,0.109,0.167,0.151,0.427,0.422,0.578,0.803,0.197,0.512,0.488,21,10,17,22,11,23,20,22,14,29,2,24,7,29,2
1610612744,Golden State Warriors,82,73,9,0.89,48.5,3.7,-2.1,0.052,5.3,8.1,0.084,-1.9,-2.7,0.007,-1.5,3.8,2.3,6.7,0.7,-0.3,2.0,-2.0,0.9,-0.9,10.8,10.8,2015-16,Regular Season,112.5,113.5,100.9,102.8,11.6,10.6,0.68,1.91,20.4,0.267,0.72,0.507,0.15,0.563,0.593,101.6,100.24,83.54,8303,0.567,1,1,1,1,5,1,6,2,1,1,1,22,15,11,18,1,1,2,2,17.1,12.2,20.9,44.6,16.6,13.8,14.5,45.1,10,21,1,9,21,22,23,25,25,2,15,18,15,0.638,0.362,0.512,0.124,0.343,0.182,0.145,0.148,0.388,0.626,0.374,0.801,0.199,0.68,0.32,29,2,28,28,1,1,30,23,25,1,30,26,5,1,30
