"team","season","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance"
"ATL","2023-24",10,65,0.722222222222222,2,2,1,10,5,2,6,0.308641975308642,0.308641975308642,0.242424242424242,0.241762866762867,0.119598765432099,0.244670213835867,2,0.0137278106508876,3,0.0026035502958579,2,0.0642791551882461,0.0642791551882461,NA,NA,NA
"BOS","2023-24",13,73,0.467948717948718,0,0,2,12,5,4,6,0.486111111111111,0.486111111111111,NA,NA,0.367771464646465,0.416581389853153,5,0.0352786639144305,2,0,3,0.0467451523545706,0.0467451523545706,NA,NA,NA
"BKN","2023-24",13,111,0.711538461538462,0,0,2,12,5,2,9,0.222222222222222,0.222222222222222,NA,NA,0.0108099847683181,0.242745935716542,2,0,2,0,2,0,0,NA,NA,NA
"CHA","2023-24",15,87,0.414285714285714,0,0,2,14,5,4,5,0.474489795918367,0.474489795918367,NA,NA,0.207866113478358,0.49433304909724,4,0.0883207821376668,5,0.026027216276919,3,0.138297872340426,0.138297872340426,NA,NA,NA
"CHI","2023-24",10,73,0.811111111111111,5,5,1,10,5,2,6,0.209876543209877,0.209876543209877,0.164292497625831,0.177717344384011,0.0277777777777778,0.179287265273227,1,0,1,0,1,0,0,NA,NA,NA
"CLE","2023-24",13,110,0.705128205128205,0,0,1,13,5,2,7,0.229166666666667,0.229166666666667,NA,0.200085978835979,0.0819910413660414,0.240669580065325,1,0,2,1.11022302462516e-16,2,0.0252385349338258,0.0252385349338258,NA,NA,NA
"DAL","2023-24",14,104,0.571428571428571,2,2,1,14,5,4,7,0.461538461538462,0.461538461538462,0.314084289575607,0.320300957324783,0.158407297830375,0.364584770086168,1,0,1,0,2,0.0447933884297521,0.0447933884297521,NA,NA,NA
"DEN","2023-24",11,73,0.663636363636364,2,2,1,11,5,4,6,0.37,0.37,0.275015262515263,0.275816544566545,0.136111111111111,0.299823284462516,3,0.0471007693751173,1,0,2,0.0495152354570637,0.0495152354570637,NA,NA,NA
"DET","2023-24",19,87,0.254385964912281,0,0,5,15,5,6,6,0.376543209876543,0.376543209876543,NA,NA,0.106693294601791,0.588353862694793,9,0.0447218919275994,8,0.0369929977539967,7,0.0891806247170666,0.0891806247170666,NA,NA,NA
"GSW","2023-24",12,105,0.795454545454545,4,4,1,12,5,3,8,0.223140495867769,0.223140495867769,0.178936215299852,0.178736415100051,0.0313026367571822,0.187090435382008,1,0,1,0,2,0,0,NA,NA,NA
"HOU","2023-24",12,86,0.651515151515151,1,1,1,12,5,3,6,0.380165289256198,0.380165289256198,0.273451860082876,0.278138528138528,0.166942148760331,0.298217301803649,1,0,1,0,3,0.0303703703703704,0.0303703703703704,NA,NA,NA
"IND","2023-24",16,114,0.475,0,0,2,15,5,6,8,0.488888888888889,0.488888888888889,NA,NA,0.265058201058201,0.418324024841833,7,0.00834872268390273,2,0,4,0.0506944444444444,0.0506944444444444,NA,NA,NA
"LAC","2023-24",13,72,0.461538461538462,0,0,3,11,5,4,6,0.402777777777778,0.3125,NA,NA,0.0976325757575757,0.411744545615922,3,0,4,1.11022302462516e-16,4,0.0110803324099723,0.0110803324099723,NA,NA,NA
"LAL","2023-24",11,68,0.618181818181818,3,3,1,11,5,4,5,0.42,0.42,0.296838235294118,0.297377450980392,0.105092592592593,0.342272168776258,1,0,1,0,2,0.0391836734693877,0.0391836734693877,NA,NA,NA
"MEM","2023-24",10,66,0.733333333333333,3,3,1,10,5,3,6,0.296296296296296,0.172839506172839,0.244463869463869,0.127853627853628,0.054783950617284,0.232525035113555,2,0.0274334251606979,3,0.00528007346189163,2,0.0882352941176471,0.0882352941176471,NA,NA,NA
"MIA","2023-24",13,117,0.75,1,1,1,13,5,3,8,0.270833333333333,0.270833333333333,0.207739236999147,0.211147266877766,0.177194564694565,0.204719995652754,1,0,1,0,2,0.0165277777777777,0.0165277777777777,NA,NA,NA
"MIL","2023-24",14,95,0.521978021978022,0,0,2,13,5,4,7,0.431952662721893,0.431952662721893,NA,NA,0.136579552925707,0.391224460587137,4,0.00620498614958452,2,0,3,0.0554733727810651,0.0554733727810651,NA,NA,NA
"MIN","2023-24",11,85,0.772727272727273,2,2,1,11,5,3,8,0.25,0.25,0.193650793650794,0.199035409035409,0.0903703703703704,0.191327303328489,1,0,1,0,2,0.0113636363636364,0.0113636363636364,NA,NA,NA
"NOP","2023-24",12,112,0.848484848484849,2,2,1,12,5,2,9,0.165289256198347,0.165289256198347,0.131722822631914,0.140919686374232,0.0506887052341598,0.125541765350506,1,0,1,0,2,0.00237812128418551,0.00237812128418551,NA,NA,NA
"NYK","2023-24",16,98,0.408333333333333,0,0,2,15,5,4,5,0.488888888888889,0.488888888888889,NA,NA,0.16348400100781,0.502791037682252,4,0.0688775510204082,2,2.22044604925031e-16,4,0.114453542185831,0.114453542185831,NA,NA,NA
"OKC","2023-24",15,90,0.428571428571429,0,0,4,12,5,4,7,0.38265306122449,0.306122448979592,NA,NA,0.0610492823503028,0.430223742457406,4,0,4,0,5,0.034152436484798,0.034152436484798,NA,NA,NA
"ORL","2023-24",14,112,0.615384615384615,1,1,1,14,5,3,7,0.414201183431953,0.331360946745562,0.293599171285525,0.228735771938087,0.134163877433108,0.32058574203954,2,0.0433673469387755,1,0,2,0.0902983069067455,0.0902983069067455,NA,NA,NA
"PHI","2023-24",13,83,0.532051282051282,0,0,2,12,5,5,7,0.416666666666667,0.416666666666667,NA,NA,0.15864898989899,0.393910110152149,4,0.00464508636957464,2,0,4,0.0348148148148148,0.0348148148148148,NA,NA,NA
"PHX","2023-24",14,88,0.483516483516484,0,0,2,13,5,3,6,0.473372781065089,0.473372781065089,NA,NA,0.238691650230112,0.424398868218598,3,0.0754132231404959,6,0.00322830578512408,3,0.0941602535083748,0.0941602535083748,NA,NA,NA
"POR","2023-24",10,69,0.766666666666667,5,5,1,10,5,1,5,0.259259259259259,0.259259259259259,0.215704049037382,0.218682552015885,0.0415564373897707,0.237406765813051,1,0,1,0,2,0.0555555555555556,0.0555555555555556,NA,NA,NA
"SAC","2023-24",14,84,0.461538461538462,0,0,2,13,5,6,6,0.497041420118343,0.497041420118343,NA,NA,0.169247205785667,0.44528837589845,3,0.0192743764172336,2,0,3,0.100981404958678,0.100981404958678,NA,NA,NA
"SAS","2023-24",12,99,0.75,2,2,1,12,5,3,7,0.173553719008264,0.173553719008264,0.117232767232767,0.11594370541739,0.0737662337662338,0.192019377612499,1,0,1,0,2,0.0230680507497117,0.0230680507497117,NA,NA,NA
"TOR","2023-24",17,109,0.400735294117647,0,0,1,17,5,4,5,0.4375,0.4375,NA,0.28553915749483,0.171006944444444,0.503273648610967,2,0.171029374631765,7,0.0186011278511911,2,0.19500594530321,0.19500594530321,NA,NA,NA
"UTA","2023-24",12,101,0.765151515151515,2,2,1,12,5,4,8,0.256198347107438,0.256198347107438,0.195336481700118,0.201373938004954,0.0622550177095632,0.204268978981183,1,0,1,0,2,0.010501957992168,0.010501957992168,NA,NA,NA
"WAS","2023-24",15,86,0.40952380952381,0,0,1,15,5,5,6,0.556122448979592,0.403061224489796,NA,0.310336697490997,0.174941130298273,0.479997725216936,4,0.000676041103299066,3,0,3,0.102647569444444,0.102647569444444,NA,NA,NA
