id,full_name,id_in_br,full_name_in_br,team,br_team,season,salary
200794,Paul Millsap,millspa01,Paul Millsap,ATL,ATL,2015-16,19000000
201143,Al Horford,horfoal01,Al Horford,ATL,ATL,2015-16,12000000
201168,Tiago Splitter,splitti01,Tiago Splitter,ATL,ATL,2015-16,8500000
201952,Jeff Teague,teaguje01,Jeff Teague,ATL,ATL,2015-16,8000000
2594,Kyle Korver,korveky01,Kyle Korver,ATL,ATL,2015-16,5746479
200757,Thabo Sefolosha,sefolth01,Thabo Sefolosha,ATL,ATL,2015-16,4000000
203118,Mike Scott,scottmi01,Mike Scott,ATL,ATL,2015-16,3333333
2550,Kirk Hinrich,hinriki01,Kirk Hinrich,ATL,ATL,2015-16,2870000
203145,Kent Bazemore,bazemke01,Kent Bazemore,ATL,ATL,2015-16,2000000
203471,Dennis Schröder,schrode01,Dennis Schroder,ATL,ATL,2015-16,1763400
203501,Tim Hardaway Jr.,hardati02,Tim Hardaway,ATL,ATL,2015-16,1304520
204002,Edy Tavares,tavarwa01,Walter Tavares,ATL,ATL,2015-16,1000000
203488,Mike Muscala,muscami01,Mike Muscala,ATL,ATL,2015-16,947276
203934,Lamar Patterson,pattela01,Lamar Patterson,ATL,ATL,2015-16,525093
2743,Kris Humphries,humphkr01,Kris Humphries,ATL,ATL,2015-16,388025
,未知,pettete01,Terran Petteway,ATL,ATL,2015-16,75000
101135,David Lee,leeda02,David Lee,DAL,BOS,2015-16,15493680
101161,Amir Johnson,johnsam01,Amir Johnson,BOS,BOS,2015-16,12000000
202340,Avery Bradley,bradlav01,Avery Bradley,BOS,BOS,2015-16,7730337
202738,Isaiah Thomas,thomais02,Isaiah Thomas,BOS,BOS,2015-16,6912869
203109,Jae Crowder,crowdja01,Jae Crowder,BOS,BOS,2015-16,6000000
201973,Jonas Jerebko,jerebjo01,Jonas Jerebko,BOS,BOS,2015-16,5000000
203935,Marcus Smart,smartma01,Marcus Smart,BOS,BOS,2015-16,3431040
202323,Evan Turner,turneev01,Evan Turner,BOS,BOS,2015-16,3425510
203092,Tyler Zeller,zellety01,Tyler Zeller,BOS,BOS,2015-16,2616975
203096,Jared Sullinger,sullija01,Jared Sullinger,BOS,BOS,2015-16,2269260
203482,Kelly Olynyk,olynyke01,Kelly Olynyk,BOS,BOS,2015-16,2165160
204054,Zoran Dragic,dragizo01,Zoran Dragic,BOS,BOS,2015-16,2050397
203103,Perry Jones III,jonespe01,Perry Jones,BOS,BOS,2015-16,2038206
1626179,Terry Rozier,roziete01,Terry Rozier,BOS,BOS,2015-16,1824360
203923,James Young,youngja01,James Young,BOS,BOS,2015-16,1749840
1626175,Jordan Mickey,mickejo01,Jordan Mickey,BOS,BOS,2015-16,1200000
1626154,RJ Hunter,hunterj01,R.J. Hunter,BOS,BOS,2015-16,1148640
1626262,Coty Clarke,clarkco01,Coty Clarke,BOS,BOS,2015-16,61776
,未知,randole01,Levi Randolph,BOS,BOS,2015-16,25000
,未知,waldeco01,Corey Walden,BOS,BOS,2015-16,25000
1626259,Malcolm Miller,millema01,Malcolm Miller,BOS,BOS,2015-16,25000
204066,John Holland,hollajo02,John Holland,BOS,BOS,2015-16,9266
2207,Joe Johnson,johnsjo02,Joe Johnson,MIA,BRK,2015-16,24894863
201572,Brook Lopez,lopezbr01,Brook Lopez,BKN,BRK,2015-16,20000000
201152,Thaddeus Young,youngth01,Thaddeus Young,BKN,BRK,2015-16,11200000
101127,Jarrett Jack,jackja01,Jarrett Jack,BKN,BRK,2015-16,6300000
101114,Deron Williams,willide01,Deron Williams,DAL,BRK,2015-16,5500000
202711,Bojan Bogdanović,bogdabo02,Bojan Bogdanovic,BKN,BRK,2015-16,3425510
203508,Sergey Karasev,karasse01,Sergey Karasev,BKN,BRK,2015-16,1599840
203499,Shane Larkin,larkish01,Shane Larkin,BKN,BRK,2015-16,1500000
201961,Wayne Ellington,ellinwa01,Wayne Ellington,BKN,BRK,2015-16,1500000
1626178,Rondae Hollis-Jefferson,holliro01,Rondae Hollis-Jefferson,BKN,BRK,2015-16,1335480
1626191,Chris McCullough,mcculch01,Chris McCullough,BKN,BRK,2015-16,1140240
