id,full_name,id_in_br,full_name_in_br,team,br_team,season,salary
201568,Danilo Gallinari,gallida01,Danilo Gallinari,ATL,ATL,2020-21,19500000.0
203992,Bogdan Bogdanović,bogdabo01,Bogdan BogdanoviÄ,ATL,ATL,2020-21,18000000.0
203991,Clint Capela,capelca01,Clint Capela,ATL,ATL,2020-21,16000000.0
203503,Tony Snell,snellto01,Tony Snell,ATL,ATL,2020-21,12178571.0
101150,Lou Williams,willilo02,Lou Williams,ATL,ATL,2020-21,8000000.0
1629631,De'Andre Hunter,huntede01,De'Andre Hunter,ATL,ATL,2020-21,7422000.0
1629027,Trae Young,youngtr01,Trae Young,ATL,ATL,2020-21,6571800.0
1630168,Onyeka Okongwu,okongon01,Onyeka Okongwu,ATL,ATL,2020-21,5813640.0
1627739,Kris Dunn,dunnkr01,Kris Dunn,ATL,ATL,2020-21,4767000.0
1629629,Cam Reddish,reddica01,Cam Reddish,ATL,ATL,2020-21,4458000.0
1628381,John Collins,collijo01,John Collins,ATL,ATL,2020-21,4137302.0
1628989,Kevin Huerter,huertke01,Kevin Huerter,ATL,ATL,2020-21,2761920.0
1629164,Brandon Goodwin,goodwbr01,Brandon Goodwin,ATL,ATL,2020-21,1701593.0
203524,Solomon Hill,hillso01,Solomon Hill,ATL,ATL,2020-21,1620564.0
1628981,Bruno Fernando,fernabr01,Bruno Fernando,ATL,ATL,2020-21,1517981.0
1629017,Khyri Thomas,thomakh01,Khyri Thomas,HOU,ATL,2020-21,744684.0
1630233,Nathan Knight,knighna01,Nathan Knight,ATL,ATL,2020-21,0.0
1630219,Skylar Mays,mayssk01,Skylar Mays,ATL,ATL,2020-21,0.0
202689,Kemba Walker,walkeke02,Kemba Walker,OKC,BOS,2020-21,34379100.0
1627759,Jaylen Brown,brownja02,Jaylen Brown,BOS,BOS,2020-21,23437500.0
203095,Evan Fournier,fournev01,Evan Fournier,BOS,BOS,2020-21,17450000.0
203935,Marcus Smart,smartma01,Marcus Smart,BOS,BOS,2020-21,13446428.0
1628369,Jayson Tatum,tatumja01,Jayson Tatum,BOS,BOS,2020-21,9897120.0
202684,Tristan Thompson,thomptr01,Tristan Thompson,BOS,BOS,2020-21,9258000.0
1629641,Romeo Langford,langfro01,Romeo Langford,BOS,BOS,2020-21,3631200.0
