"team","nodes","edges","density","vertex_connectivity","edge_connectivity","num_component","max_component_size","biconnected_components","cohesive_blocks","max_cohesion","cent_indegree","cent_outdegree","cent_inclo","cent_outclo","cent_betw","centr_eigen","walktrap_communities","walktrap_modularity","edge_betweenness_communities","edge_betweenness_modularity","louvain_communities","louvain_modularity","best_modularity","tau_rankedcluster","tau_cluster","tau_balance","season"
"ATL",20,279,0.734210526315789,2,2,1,20,5,5,12,0.279778393351801,0.279778393351801,0.218065903103106,0.219259027268181,0.0637496544698761,0.234374152398218,2,0.0693657584049537,5,0.0138230495497231,2,0.0674913194444444,0.0693657584049537,10.5148206648041,10.5326069468938,10.389588827321,"2022-23"
"BOS",18,232,0.758169934640523,5,5,1,18,5,0,0,0.259515570934256,0.259515570934256,0.200474414678746,0.204857645962914,0.0384582977576057,0.214333871005204,2,0.0277478448275862,3,0.0118720273483949,2,0.0653050432943354,0.0653050432943354,8.78504191919897,8.78380722750736,10.3305819602242,"2022-23"
"BKN",25,389,0.648333333333333,2,2,1,25,5,6,13,0.366319444444444,0.322916666666667,0.267445917750361,0.227433085339081,0.101166095225395,0.277933879961113,2,0.0577018391366698,7,0.0291301273451801,3,0.0806385116854338,0.0806385116854338,16.6949836093108,16.685190221852,12.1786748217202,"2022-23"
"CHA",19,280,0.818713450292398,7,7,1,19,5,4,13,0.132716049382716,0.191358024691358,0.0999418849177302,0.153436795711491,0.0144167880755571,0.146910333738931,2,0.00775510204081634,2,0.00778061224489812,2,0.0512494498508485,0.0512494498508485,9.63647236679087,9.69990971020398,9.89711195749479,"2022-23"
"CHI",18,207,0.676470588235294,3,3,1,18,5,0,0,0.346020761245675,0.283737024221453,0.252429903101474,0.192721354014673,0.0641250617894216,0.264988699191375,2,0.0401059534644916,5,0.0210740040607715,2,0.0931336742147553,0.0931336742147553,10.4474303460942,11.2667818773983,10.9831984969373,"2022-23"
"CLE",18,245,0.800653594771242,4,4,1,18,5,4,12,0.211072664359862,0.211072664359862,0.164558215414162,0.173329627938989,0.0288723171292375,0.175546200086227,2,0.0126530612244898,5,0.00844648063306952,2,0.0510571021142042,0.0510571021142042,10.4027874125442,10.2965837471776,9.95918881137872,"2022-23"
"DAL",23,363,0.717391304347826,1,1,1,23,5,4,13,0.200413223140496,0.200413223140496,0.134098953409298,0.134610698146426,0.0531233873592718,0.2129222150617,4,0.0287966061820306,4,0.00047052038036266,2,0.0487772104273045,0.0487772104273045,18.6866563881008,18.7009542765715,16.0266518382164,"2022-23"
"DEN",18,273,0.892156862745098,10,10,1,18,5,0,0,0.117647058823529,0.117647058823529,0.102800686838203,0.103164919218461,0.00533981589344911,0.102076242716191,2,0.00847992056783268,1,0,2,0.0179856115107914,0.0179856115107914,4.24730696778113,4.36203541955598,5.53449881460568,"2022-23"
"DET",22,314,0.67965367965368,1,1,1,22,5,5,12,0.285714285714286,0.335600907029478,0.197720295343843,0.247610915645223,0.0929632329122125,0.258565582943442,3,0.0708953710089659,1,0,2,0.0788035395597858,0.0788035395597858,16.4717521500694,16.9874933268446,14.8387514834553,"2022-23"
"GSW",18,259,0.84640522875817,6,6,1,18,5,0,0,0.166089965397924,0.166089965397924,0.135815279133594,0.13545986703153,0.0148501908990663,0.134098349796478,1,0.00384609651018917,3,0.000298147016293604,2,0.0180903386285262,0.0180903386285262,8.58438502710317,8.84317105078136,8.76534130138845,"2022-23"
"HOU",18,246,0.803921568627451,6,6,1,18,5,4,12,0.207612456747405,0.207612456747405,0.170828285547629,0.171962606213911,0.0278719874416241,0.170009303112273,2,0.0289427589397845,3,0.0175490779298035,2,0.055008,0.055008,10.2365685428633,10.4169709045891,10.3884176490254,"2022-23"
"IND",20,308,0.810526315789474,8,8,1,20,5,0,0,0.202216066481994,0.202216066481994,0.164240004687371,0.164937024598468,0.0153354049937614,0.168327987188528,2,0.0219630207454883,1,0,3,0.0430843195266272,0.0430843195266272,6.35411515352364,6.44375240810976,7.01435970045176,"2022-23"
"LAC",21,316,0.752380952380952,6,6,1,21,5,6,13,0.26,0.26,0.200272404179098,0.203108103291012,0.0271323380566802,0.223263077632372,2,0.0447844896651178,1,0,2,0.0735977747294619,0.0735977747294619,10.0306417150511,9.82950301801959,9.32391303281695,"2022-23"
